   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2216799    4.982    0.000    8.110    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:789(is_string_or_list_of_strings)
       60    0.000    0.000    8.025    0.134 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:2673(__init__)
        2    0.053    0.026    7.941    3.970 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:256(stageData)
  4441909    7.843    0.000    7.843    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3363(dtype)
 10611070    7.518    0.000    7.518    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2320(_all_dispatcher)
        8    5.194    0.649    7.490    0.936 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:1261(interpolate)
2220454/2220152    7.416    0.000    7.430    0.000 {method 'view' of 'numpy.generic' objects}
 10736188    7.427    0.000    7.427    0.000 {method 'items' of 'dict' objects}
  2224794    7.226    0.000    7.226    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       46    6.906    0.150    6.923    0.150 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      925    0.004    0.000    6.535    0.007 <__array_function__ internals>:2(where)
  2216763    4.258    0.000    6.168    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3191(_is_scalar)
       74    0.002    0.000    5.599    0.076 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:5186(mean)
2650/2640    0.023    0.000    5.496    0.002 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/transforms.py:1377(transform)
        4    0.036    0.009    5.245    1.311 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:633(annualCycle)
      602    0.004    0.000    5.238    0.009 {method 'sum' of 'numpy.ndarray' objects}
      602    0.002    0.000    5.234    0.009 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/_methods.py:36(_sum)
   109589    0.202    0.000    5.199    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/impl.py:34(wrapper)
       80    0.102    0.001    5.023    0.063 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/crs.py:1907(transform_points)
       54    0.002    0.000    5.022    0.093 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:129(transform_non_affine)
   108872    0.351    0.000    4.930    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/geometry/base.py:781(project)
  2223784    3.432    0.000    4.928    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:1368(getmask)
       82    4.915    0.060    4.915    0.060 {method 'transform_points' of 'cartopy._crs.CRS' objects}
   108872    2.527    0.000    4.473    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/linref.py:14(__call__)
        2    2.024    1.012    4.338    2.169 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Confrontation.py:313(_getOrder)
      180    0.002    0.000    4.030    0.022 /lmt/venv/ilamb/lib/python3.8/tkinter/__init__.py:3105(__init__)
      120    0.002    0.000    4.028    0.034 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:630(_Spacer)
   108872    0.384    0.000    3.809    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/geometry/point.py:36(__init__)
        4    0.001    0.000    3.749    0.937 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/ilamblib.py:535(ExtendAnnualCycle)
       49    3.074    0.063    3.535    0.072 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/ilamblib.py:596(FromNetCDF4)
       62    0.009    0.000    3.401    0.055 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_base.py:421(__init__)
       60    0.002    0.000    3.353    0.056 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_subplots.py:18(__init__)
   108872    0.741    0.000    3.338    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/geometry/point.py:130(_set_coords)
       34    0.001    0.000    3.302    0.097 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/figure.py:2431(tight_layout)
       52    0.034    0.001    3.298    0.063 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/feature_artist.py:144(draw)
       58    0.004    0.000    3.253    0.056 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/figure.py:1427(subplots)
       34    0.002    0.000    3.252    0.096 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/tight_layout.py:267(get_tight_layout_figure)
       60    0.002    0.000    3.238    0.054 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/figure.py:1261(add_subplot)
       34    0.004    0.000    3.230    0.095 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/tight_layout.py:33(auto_adjust_subplotpars)
       34    0.000    0.000    3.181    0.094 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/tight_layout.py:111(<listcomp>)
 1589/146    0.021    0.000    3.181    0.022 <frozen importlib._bootstrap>:986(_find_and_load)
       34    0.007    0.000    3.180    0.094 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_base.py:4304(get_tightbbox)
  2220436    3.180    0.000    3.180    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3379(shape)
 1584/146    0.014    0.000    3.171    0.022 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
 1668/147    0.004    0.000    3.161    0.022 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1544/73    0.032    0.000    3.124    0.043 {built-in method builtins.exec}
  1079/12    0.011    0.000    3.115    0.260 <frozen importlib._bootstrap>:650(_load_unlocked)
   963/10    0.006    0.000    3.113    0.311 <frozen importlib._bootstrap_external>:777(exec_module)
 1589/934    0.008    0.000    3.102    0.003 {built-in method builtins.__import__}
       38    0.799    0.021    2.838    0.075 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:4231(__imul__)
       56    0.002    0.000    2.827    0.050 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1154(get_tightbbox)
     2297    2.740    0.001    2.740    0.001 {method 'astype' of 'numpy.ndarray' objects}
2530/2520    0.007    0.000    2.539    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/transforms.py:2375(transform_non_affine)
      814    0.043    0.000    2.487    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:56(__init__)
      627    0.003    0.000    2.412    0.004 <__array_function__ internals>:2(empty_like)
  2363086    2.215    0.000    2.215    0.000 {function RcParams.__getitem__ at 0x7f3ccffe0040}
      202    2.149    0.011    2.159    0.011 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3391(__setmask__)
       62    0.010    0.000    2.146    0.035 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axes/_base.py:960(cla)
     1062    0.012    0.000    2.051    0.002 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:193(get_text_width_height_descent)
     1822    0.033    0.000    1.987    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/text.py:852(get_window_extent)
   108872    1.584    0.000    1.948    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/geometry/point.py:196(geos_point_from_py)
      104    0.001    0.000    1.940    0.019 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/ma/core.py:3472(mask)
       68    1.217    0.018    1.909    0.028 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/Variable.py:885(toNetCDF4)
2375760/2375751    1.903    0.000    1.906    0.000 {built-in method builtins.hasattr}
       30    0.001    0.000    1.855    0.062 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/mathtext.py:3339(parse)
        1    0.000    0.000    1.846    1.846 /lmt/venv/ilamb/lib/python3.8/site-packages/ILAMB/__init__.py:1(<module>)
  2216500    1.814    0.000    1.814    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1108(_argmax_dispatcher)
      224    0.024    0.000    1.755    0.008 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1074(_update_ticks)
     1608    0.052    0.000    1.670    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/text.py:270(_get_layout)
3118/2610    0.017    0.000    1.652    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      112    0.003    0.000    1.639    0.015 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1195(draw)
      517    0.005    0.000    1.635    0.003 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:1928(_get_tick)
     9960    1.069    0.000    1.622    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/coords.py:69(__getitem__)
      648    0.010    0.000    1.578    0.002 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/axis.py:862(set_tick_params)
   109468    0.434    0.000    1.551    0.000 /lmt/venv/ilamb/lib/python3.8/site-packages/shapely/linref.py:8(_validate_line)
     2500    0.137    0.000    1.426    0.001 /lmt/venv/ilamb/lib/python3.8/site-packages/matplotlib/lines.py:273(__init__)
       26    0.001    0.000    1.360    0.052 /lmt/venv/ilamb/lib/python3.8/site-packages/cartopy/mpl/geoaxes.py:264(__init__)
